,ba,ca,sr,cd,ti,zr,sn,hf,d33
1,85,15,0,0,90,10,0,0,610
2,94,6,0,0,90.4,0,9.6,0,480
3,84,16,0,0,90,10,0,0,460
4,92.5,7.5,0,0,91,0,9,0,441
5,87.4,12.6,0,0,91,9,0,0,404
6,86.95,13.05,0,0,91.75,8.25,0,0,397
7,86.5,13.5,0,0,92.5,7.5,0,0,388
8,89.5,10.5,0,0,92.2,0,7.8,0,378
9,85,15,0,0,91,9,0,0,362
10,84,16,0,0,91,9,0,0,354
11,86,14,0,0,91,8,1,0,351
12,88,12,0,0,92.8,0,7.2,0,343
13,86,14,0,0,91,9,0,0,343
14,82.5,17.5,0,0,87.5,12.5,0,0,334
15,85.6,14.4,0,0,94,6,0,0,326
16,87,13,0,0,92,8,0,0,326
17,85,15,0,0,89,11,0,0,314
18,87.85,12.15,0,0,90.25,9.75,0,0,313
19,86,14,0,0,92,8,0,0,290
20,86,14,0,0,90,9,1,0,290
21,88.3,11.7,0,0,89.5,10.5,0,0,282
22,84,15,1,0,92,8,0,0,272
23,86,14,0,0,90,10,0,0,268
24,88,12,0,0,92,2,6,0,264
25,93,7,0,0,91,0,9,0,250
26,93,7,0,0,92,0,8,0,238
27,94,6,0,0,91,0,9,0,237
28,77.25,22.75,0,0,91.25,8.75,0,0,235
29,89,11,0,0,90,10,0,0,232
30,84,16,0,0,85,15,0,0,218
31,95,5,0,0,91,0,9,0,215
32,85,15,0,0,93,0,7,0,214
33,83,17,0,0,87,13,0,0,212
34,79,21,0,0,91,9,0,0,211
35,82,18,0,0,88,12,0,0,206
36,80.75,19.25,0,0,88.75,11.25,0,0,203
37,89.2,10.8,0,0,88,12,0,0,189
38,91,9,0,0,91,0,9,0,186
39,90,10,0,0,93,0,7,0,181
40,91,9,0,0,90,0,10,0,173
41,91,9,0,0,96,1,3,0,170
42,90,10,0,0,95,0,5,0,165
43,83.8,16.2,0,0,97,3,0,0,162
44,92,8,0,0,91,0,9,0,155
45,75.5,24.5,0,0,92.5,7.5,0,0,150
46,81,17,2,0,88,12,0,0,149
47,91,9,0,0,85,15,0,0,142
48,76,24,0,0,97,3,0,0,122
49,84.25,15.75,0,0,86.25,13.75,0,0,113
50,76,24,0,0,99,1,0,0,112
51,60,40,0,0,94,6,0,0,111
52,73,27,0,0,96,4,0,0,108
53,95,5,0,0,89,0,11,0,108
54,72,28,0,0,95,5,0,0,100
55,100,0,0,0,99,0,1,0,98
56,86,14,0,0,85,15,0,0,93
57,78,22,0,0,100,0,0,0,84
58,87.75,12.25,0,0,83.75,16.25,0,0,81
59,57.5,42.5,0,0,95.5,4.5,0,0,72
60,80,20,0,0,88,2,10,0,65
61,91,9,0,0,88,12,0,0,65
62,91,9,0,0,89,0,11,0,60
63,97,3,0,0,88,0,12,0,59
64,62.5,37.5,0,0,92.5,7.5,0,0,56
65,68.5,31.5,0,0,97.5,2.5,0,0,47
66,82,18,0,0,83,17,0,0,31
67,96.5,3.5,0,0,77.5,22.5,0,0,30
68,89.5,10.5,0,0,82.5,17.5,0,0,22
69,95,1,4,0,79,21,0,0,21
70,88,9,3,0,81,19,0,0,12
71,93,7,0,0,80,20,0,0,8
72,94,6,0,0,84,16,0,0,6
