element,anum,VEN,energy.cohesive,Dens,Mr,x,Tm,r.atom,YM,A,ar_c,dor,energy1
H,1,1,2.3,NA,NA,NA,NA,NA,NA,1.008,NA,NA,NA
He,2,8,0.01,NA,NA,NA,NA,NA,NA,4.003,NA,NA,NA
Li,3,1,1.63,0.53,NA,NA,NA,NA,NA,6.941,NA,NA,NA
Be,4,2,3.32,1.86,NA,NA,NA,NA,NA,9.012,NA,NA,NA
B,5,3,5.77,2.46,NA,NA,NA,NA,NA,10.811,NA,NA,NA
C,6,4,7.37,2.27,NA,NA,NA,NA,NA,12.011,NA,NA,NA
N,7,5,4.92,1.03,NA,NA,NA,NA,NA,14.007,NA,NA,NA
O,8,6,2.6,NA,NA,NA,NA,NA,NA,15.999,NA,NA,NA
F,9,7,0.84,NA,NA,NA,NA,NA,NA,18.998,NA,NA,NA
Ne,10,8,0.02,NA,NA,NA,NA,NA,NA,20.18,NA,NA,NA
Na,11,1,1.11,NA,NA,NA,NA,NA,NA,22.99,NA,NA,NA
Mg,12,2,1.51,1.74,160,1.31,923,160.13,45,24.305,NA,NA,NA
Al,13,3,3.39,2.7,143,1.61,933,143.17,70,26.982,118,1.312,577.54
Si,14,4,4.63,2.33,118,1.9,1687,115.3,47,28.086,111,1.068,786.52
P,15,5,3.43,NA,NA,NA,NA,NA,NA,30.974,NA,NA,NA
S,16,6,2.85,NA,NA,NA,NA,NA,NA,32.066,NA,NA,NA
Cl,17,7,1.4,NA,NA,NA,NA,NA,NA,35.453,NA,NA,NA
Ar,18,8,0.08,NA,NA,NA,NA,NA,NA,39.948,NA,NA,NA
K,19,1,0.93,NA,NA,NA,NA,NA,NA,39.098,NA,NA,NA
Ca,20,2,1.84,NA,NA,NA,NA,NA,NA,40.078,NA,NA,NA
Sc,21,3,3.9,NA,NA,NA,NA,NA,NA,44.956,NA,NA,NA
Ti,22,4,4.85,4.5,147,1.54,1941,146.15,116,47.88,176,0.489,658.81
V,23,5,5.31,6.12,135,1.63,2183,131.6,128,50.942,171,0.449,650.91
Cr,24,6,4.1,7.19,129,1.66,2180,124.91,279,51.996,166,0.427,652.87
Mn,25,7,2.92,7.47,137,1.55,1519,135,198,54.938,161,0.389,717.28
Fe,26,8,4.28,7.88,126,1.83,1811,124.12,211,55.847,156,0.365,762.47
Co,27,9,4.39,8.84,125,1.88,1768,125.1,209,58.933,152,0.344,760.4
Ni,28,10,4.44,8.91,125,1.91,1728,124.59,200,58.69,149,0.325,737.14
Cu,29,11,3.49,8.94,128,1.9,1358,127.8,130,63.546,145,0.312,745.48
Zn,30,12,1.35,7.14,137,1.65,693,139.45,108,65.39,NA,NA,NA
Ga,31,3,2.81,NA,NA,NA,NA,NA,NA,69.723,NA,NA,NA
Ge,32,4,3.85,NA,NA,NA,NA,NA,NA,72.61,NA,NA,NA
As,33,5,2.96,NA,NA,NA,NA,NA,NA,74.922,NA,NA,NA
Se,34,6,2.25,NA,NA,NA,NA,NA,NA,78.96,NA,NA,NA
Br,35,7,1.22,NA,NA,NA,NA,NA,NA,79.904,NA,NA,NA
Kr,36,8,0.12,NA,NA,NA,NA,NA,NA,83.8,NA,NA,NA
Rb,37,1,0.85,NA,NA,NA,NA,NA,NA,85.468,NA,NA,NA
Sr,38,2,1.72,2.58,215,0.95,1050,215.2,NA,87.62,NA,NA,NA
Y,39,3,4.37,4.47,182,1.22,1795,180.15,64,88.906,NA,NA,NA
Zr,40,4,6.25,6.51,160,1.33,2128,160.25,68,91.224,206,0.79,640.1
Nb,41,5,7.57,8.58,145,1.6,2750,142.9,105,92.906,198,0.747,652.13
Mo,42,6,6.82,10.23,139,2.16,2896,136.26,329,95.94,190,0.702,684.32
Tc,43,7,6.85,NA,NA,NA,NA,NA,NA,98,NA,NA,NA
Ru,44,8,6.74,NA,NA,NA,NA,NA,NA,101.07,NA,NA,NA
Rh,45,9,5.75,NA,NA,NA,NA,NA,NA,102.906,NA,NA,NA
Pd,46,10,3.89,12.43,137,2.2,1828,137.54,121,106.42,169,0.567,804.38
Ag,47,11,2.95,NA,NA,NA,NA,NA,NA,107.868,NA,NA,NA
Cd,48,12,1.16,NA,NA,NA,NA,NA,NA,112.411,NA,NA,NA
In,49,3,2.52,NA,NA,NA,NA,NA,NA,114.82,NA,NA,NA
Sn,50,4,3.14,NA,NA,NA,NA,NA,NA,118.71,NA,NA,NA
Sb,51,5,2.75,NA,NA,NA,NA,NA,NA,121.75,NA,NA,NA
Te,52,6,2.23,NA,NA,NA,NA,NA,NA,127.6,NA,NA,NA
I,53,7,1.11,NA,NA,NA,NA,NA,NA,126.905,NA,NA,NA
Xe,54,8,0.16,NA,NA,NA,NA,NA,NA,131.29,NA,NA,NA
Cs,55,1,0.8,NA,NA,NA,NA,NA,NA,132.905,NA,NA,NA
Ba,56,2,1.9,NA,NA,NA,NA,NA,NA,137.327,NA,NA,NA
La,57,3,4.47,NA,NA,NA,NA,NA,NA,138.906,NA,NA,NA
Ce,58,3,4.32,NA,NA,NA,NA,NA,NA,140.115,NA,NA,NA
Pr,59,3,3.7,NA,NA,NA,NA,NA,NA,140.908,NA,NA,NA
Nd,60,3,3.4,NA,NA,NA,NA,NA,NA,144.24,NA,NA,NA
Pm,61,3,3,NA,NA,NA,NA,NA,NA,145,NA,NA,NA
Sm,62,3,2.14,NA,NA,NA,NA,NA,NA,150.36,NA,NA,NA
Eu,63,3,1.86,NA,NA,NA,NA,NA,NA,151.965,NA,NA,NA
Gd,64,3,4.14,NA,NA,NA,NA,NA,NA,157.25,NA,NA,NA
Tb,65,3,4.05,NA,NA,NA,NA,NA,NA,158.925,NA,NA,NA
Dy,66,3,3.04,NA,NA,NA,NA,NA,NA,162.5,NA,NA,NA
Ho,67,3,3.14,NA,NA,NA,NA,NA,NA,164.93,NA,NA,NA
Er,68,3,3.29,NA,NA,NA,NA,NA,NA,167.26,NA,NA,NA
Tm,69,3,2.42,NA,NA,NA,NA,NA,NA,168.934,NA,NA,NA
Yb,70,3,1.6,NA,NA,NA,NA,NA,NA,173.04,NA,NA,NA
Lu,71,3,4.43,NA,NA,NA,NA,NA,NA,174.967,NA,NA,NA
Hf,72,4,6.44,13.28,159,1.3,2506,157.75,78,178.49,208,0.829,658.52
Ta,73,5,8.1,16.68,146,1.5,3290,143,186,180.948,200,0.784,728.42
W,74,6,8.9,19.41,140,2.36,3695,136.7,411,183.85,193,0.746,758.76
Re,75,7,8.03,NA,NA,NA,NA,NA,NA,186.207,NA,NA,NA
Os,76,8,8.17,NA,NA,NA,NA,NA,NA,190.2,NA,NA,NA
Ir,77,9,6.94,NA,NA,NA,NA,NA,NA,192.22,NA,NA,NA
Pt,78,10,5.84,NA,NA,NA,NA,NA,NA,195.08,NA,NA,NA
Au,79,11,3.81,NA,NA,NA,NA,NA,NA,196.967,NA,NA,NA
Hg,80,12,0.67,NA,NA,NA,NA,NA,NA,200.59,NA,NA,NA
Tl,81,3,1.88,NA,NA,NA,NA,NA,NA,204.383,NA,NA,NA
Pb,82,4,2.03,NA,NA,NA,NA,NA,NA,207.2,NA,NA,NA
Bi,83,5,2.18,NA,NA,NA,NA,NA,NA,208.98,NA,NA,NA
Po,84,6,1.5,NA,NA,NA,NA,NA,NA,209,NA,NA,NA
At,85,7,1,NA,NA,NA,NA,NA,NA,210,NA,NA,NA
Rn,86,8,0.2,NA,NA,NA,NA,NA,NA,222,NA,NA,NA
Fr,87,1,0.75,NA,NA,NA,NA,NA,NA,223,NA,NA,NA
Ra,88,2,1.66,NA,NA,NA,NA,NA,NA,226.025,NA,NA,NA
Ac,89,3,4.25,NA,NA,NA,NA,NA,NA,227.028,NA,NA,NA
Th,90,3,6.2,NA,NA,NA,NA,NA,NA,232.038,NA,NA,NA
Pa,91,3,6.7,NA,NA,NA,NA,NA,NA,231.036,NA,NA,NA
U,92,3,5.55,NA,NA,NA,NA,NA,NA,238.029,NA,NA,NA
Np,93,3,4.2,NA,NA,NA,NA,NA,NA,237.048,NA,NA,NA
Pu,94,3,3.6,NA,NA,NA,NA,NA,NA,244,NA,NA,NA
Am,95,3,2.73,NA,NA,NA,NA,NA,NA,243,NA,NA,NA
Cm,96,3,3.86,NA,NA,NA,NA,NA,NA,247,NA,NA,NA
Bk,97,3,3.9,NA,NA,NA,NA,NA,NA,247,NA,NA,NA
Cf,98,3,3.9,NA,NA,NA,NA,NA,NA,251,NA,NA,NA
Es,99,3,3.9,NA,NA,NA,NA,NA,NA,252,NA,NA,NA
Fm,100,3,3.9,NA,NA,NA,NA,NA,NA,257,NA,NA,NA
