,Ti,Ni,Cu,Hf,Zr,Nb,Co,Cr,latent heat
1,0.496,0.504,0,0,0,0,0,0,-21.24
2,0.297,0.503,0,0.15,0.05,0,0,0,-16.16
3,0.3,0.5,0,0.15,0.05,0,0,0,-21.08
4,0.48,0.5,0,0,0,0.02,0,0,-9.862
5,0.255,0.495,0,0.25,0,0,0,0,-23.33
6,0.29,0.495,0,0.01,0.205,0,0,0,-23.22
7,0.306,0.49,0,0.204,0,0,0,0,-30.73
8,0.325,0.49,0,0.18,0,0,0,0.005,-30.01
9,0.31,0.49,0,0.15,0.05,0,0,0,-28.12
10,0.36,0.49,0,0.15,0,0,0,0,-28.12
11,0.305,0.49,0,0.15,0.05,0,0.005,0,-15.75
12,0.315,0.485,0,0,0.2,0,0,0,-32.9
13,0.315,0.485,0,0.2,0,0,0,0,-31.84
14,0.5,0.485,0,0,0,0,0.015,0,-30.61
15,0.309,0.485,0,0.2,0.006,0,0,0,-30.08
16,0.309,0.485,0,0.161,0.0246,0.0204,0,0,-28.29
17,0.315,0.485,0,0.05,0.15,0,0,0,-28.12
18,0.315,0.485,0,0.1,0.1,0,0,0,-27.86
19,0.315,0.485,0,0.075,0.125,0,0,0,-27.8
20,0.315,0.485,0,0.15,0.05,0,0,0,-27.53
21,0.315,0.485,0,0.125,0.075,0,0,0,-27.06
22,0.309,0.485,0,0.1818,0.01468,0.00952,0,0,-24.24
23,0.309,0.485,0,0.135,0.037,0.034,0,0,-21.35
24,0.27,0.48,0,0.25,0,0,0,0,-33.04
25,0.27,0.475,0,0.25,0,0,0,0.005,-31.14
26,0.24,0.475,0,0.23,0.05,0,0,0.005,-26.13
27,0.33,0.47,0,0.15,0.05,0,0,0,-24.69
28,0.3,0.45,0.05,0.15,0.05,0,0,0,-21.16
29,0.306,0.441,0.049,0.204,0,0,0,0,-24.79
30,0.36,0.44,0.05,0.15,0,0,0,0,-23.33
31,0.36,0.44,0,0.15,0.05,0,0,0,-20.09
32,0.315,0.435,0.05,0.2,0,0,0,0,-26.11
33,0.315,0.435,0.05,0,0.2,0,0,0,-22.54
34,0.315,0.435,0.05,0.15,0.05,0,0,0,-21.37
35,0.25,0.43,0.07,0.25,0,0,0,0,-19.8
36,0.22795,0.42195,0.0582,0.194,0.0679,0.03,0,0,-19.09
37,0.33,0.42,0.05,0.15,0.05,0,0,0,-21.81
38,0.235,0.415,0,0.24,0,0.05,0.06,0,-21.35
39,0.39,0.41,0,0.15,0.05,0,0,0,-15.8
40,0.2,0.4,0.08,0.24,0.08,0,0,0,-25.42
41,0.3,0.4,0.1,0.15,0.05,0,0,0,-12.55
42,0.306,0.392,0.098,0.204,0,0,0,0,-18.17
43,0.315,0.385,0.1,0.2,0,0,0,0,-21.2
44,0.315,0.385,0.1,0.1,0.1,0,0,0,-17.25
45,0.315,0.385,0.1,0.15,0.05,0,0,0,-16.85
46,0.315,0.385,0.1,0.05,0.15,0,0,0,-15.89
47,0.315,0.385,0.1,0,0.2,0,0,0,-15.67
48,0.5,0.375,0.125,0,0,0,0,0,-19.17
49,0.2,0.37,0.11,0.24,0.08,0,0,0,-29.28
50,0.21,0.37,0.12,0.23,0.07,0,0,0,-19
51,0.33,0.37,0.1,0.15,0.05,0,0,0,-17.34
52,0.2,0.37,0.13,0.25,0.05,0,0,0,-15.2
53,0.2655,0.3645,0.081,0.189,0,0.1,0,0,-14.09
54,0.2,0.36,0.12,0.24,0.08,0,0,0,-27.56
55,0.2,0.35,0.13,0.24,0.08,0,0,0,-26.42
56,0.5,0.35,0.15,0,0,0,0,0,-18.96
57,0.26,0.35,0.13,0.24,0,0,0.02,0,-13.92
58,0.306,0.343,0.147,0.204,0,0,0,0,-16.62
59,0.315,0.335,0.15,0.15,0.05,0,0,0,-14.73
60,0.5,0.3,0.2,0,0,0,0,0,-17.76
61,0.51,0.294,0.196,0,0,0,0,0,-16.63
62,0.197,0.503,0,0.3,0,0,0,0,-12.2
63,0.202,0.498,0,0.3,0,0,0,0,-13.56
64,0.26,0.485,0,0,0.25,0,0.005,0,-26.42
65,0.3,0.48,0,0.22,0,0,0,0,-30.12
