,Ti,Ni,Cu,Hf,Zr,Nb,Co,Cr,Fe,Mn,Pd,delta.r.mix,H.mix,ou.mix,VEC.mix,numa,es
672257,0.496,0.504,0,0,0,0,0,0,0,0,0,0.143586058,0.373523961,0,0.762162162,0,-21.24
672258,0.297,0.503,0,0.15,0.05,0,0,0,0,0,0,0.775566913,0.179257126,0.289020248,0.754054054,0.5,-16.16
672259,0.3,0.5,0,0.15,0.05,0,0,0,0,0,0,0.771738853,0.180345954,0.290775784,0.72972973,0.5,-21.08
672260,0.48,0.5,0,0,0,0.02,0,0,0,0,0,0.131093722,0.388668255,0.07102185,0.756756757,0.25,-9.862
672261,0.255,0.495,0,0.25,0,0,0,0,0,0,0,0.837776077,0.182469553,0.24068945,0.689189189,0.25,-23.33
672262,0.29,0.495,0,0.01,0.205,0,0,0,0,0,0,0.910528393,0.052505295,0.185390503,0.689189189,0.5,-23.22
672263,0.306,0.49,0,0.204,0,0,0,0,0,0,0,0.729305842,0.219790839,0.239493472,0.648648649,0.25,-30.73
672264,0.325,0.49,0,0.18,0,0,0,0.005,0,0,0,0.678474449,0.248792031,0.255207271,0.662162162,0.5,-30.01
672265,0.31,0.49,0,0.15,0.05,0,0,0,0,0,0,0.75852105,0.18497926,0.29678402,0.648648649,0.5,-28.12
672266,0.36,0.49,0,0.15,0,0,0,0,0,0,0,0.597778251,0.260656606,0.21777592,0.648648649,0.25,-28.12
672267,0.305,0.49,0,0.15,0.05,0,0.005,0,0,0,0,0.764644947,0.186424411,0.314874485,0.682432432,0.75,-15.75
672268,0.315,0.485,0,0,0.2,0,0,0,0,0,0,0.861462974,0.075517386,0.164216354,0.608108108,0.25,-32.9
672269,0.315,0.485,0,0.2,0,0,0,0,0,0,0,0.713358205,0.225327641,0.241406247,0.608108108,0.25,-31.84
672270,0.5,0.485,0,0,0,0,0.015,0,0,0,0,0.140379354,0.384983673,0.052889062,0.709459459,0.25,-30.61
672271,0.309,0.485,0,0.2,0.006,0,0,0,0,0,0,0.731693537,0.216339026,0.259935366,0.608108108,0.5,-30.08
672272,0.309,0.485,0,0.161,0.0246,0.0204,0,0,0,0,0,0.693484088,0.263711093,0.359026668,0.635675676,0.75,-28.29
672273,0.315,0.485,0,0.05,0.15,0,0,0,0,0,0,0.825667322,0.11296995,0.257139459,0.608108108,0.5,-28.12
672274,0.315,0.485,0,0.1,0.1,0,0,0,0,0,0,0.789072597,0.150422513,0.295974597,0.608108108,0.5,-27.86
672275,0.315,0.485,0,0.075,0.125,0,0,0,0,0,0,0.807471752,0.131696232,0.280895024,0.608108108,0.5,-27.8
672276,0.315,0.485,0,0.15,0.05,0,0,0,0,0,0,0.751647442,0.187875077,0.299882494,0.608108108,0.5,-27.53
672277,0.315,0.485,0,0.125,0.075,0,0,0,0,0,0,0.77046587,0.169148795,0.30263068,0.608108108,0.5,-27.06
672278,0.309,0.485,0,0.1818,0.01468,0.00952,0,0,0,0,0,0.714090064,0.240284961,0.314603407,0.620972973,0.75,-24.24
672279,0.309,0.485,0,0.135,0.037,0.034,0,0,0,0,0,0.666975517,0.287082782,0.400085709,0.654054054,0.75,-21.35
672280,0.27,0.48,0,0.25,0,0,0,0,0,0,0,0.8151994,0.191157003,0.251646954,0.567567568,0.25,-33.04
672281,0.27,0.475,0,0.25,0,0,0,0.005,0,0,0,0.814827261,0.204930059,0.277629075,0.540540541,0.5,-31.14
672282,0.24,0.475,0,0.23,0.05,0,0,0.005,0,0,0,0.908589275,0.14600984,0.34722199,0.540540541,0.75,-26.13
672283,0.33,0.47,0,0.15,0.05,0,0,0,0,0,0,0.729962335,0.198879181,0.309583557,0.486486486,0.5,-24.69
672284,0.3,0.45,0.05,0.15,0.05,0,0,0,0,0,0,0.739007615,0.341960109,0.469530507,0.797297297,0.75,-21.16
672285,0.306,0.441,0.049,0.204,0,0,0,0,0,0,0,0.696587668,0.38001059,0.416897064,0.714864865,0.5,-24.79
672286,0.36,0.44,0.05,0.15,0,0,0,0,0,0,0,0.564508087,0.424697732,0.39880909,0.716216216,0.5,-23.33
672287,0.36,0.44,0,0.15,0.05,0,0,0,0,0,0,0.681750839,0.231312329,0.33103916,0.243243243,0.5,-20.09
672288,0.315,0.435,0.05,0.2,0,0,0,0,0,0,0,0.679691625,0.390030668,0.422664597,0.675675676,0.5,-26.11
672289,0.315,0.435,0.05,0,0.2,0,0,0,0,0,0,0.828105084,0.24242675,0.322516715,0.675675676,0.5,-22.54
672290,0.315,0.435,0.05,0.15,0.05,0,0,0,0,0,0,0.718072321,0.353129688,0.480861727,0.675675676,0.75,-21.37
672291,0.25,0.43,0.07,0.25,0,0,0,0,0,0,0,0.798561422,0.403825788,0.473025856,0.824324324,0.5,-19.8
672292,0.22795,0.42195,0.0582,0.194,0.0679,0.03,0,0,0,0,0,0.841080647,0.404519058,0.663201411,0.687972973,1,-19.09
672293,0.33,0.42,0.05,0.15,0.05,0,0,0,0,0,0,0.695522509,0.367774248,0.49319191,0.554054054,0.75,-21.81
672294,0.235,0.415,0,0.24,0,0.05,0.06,0,0,0,0,0.768344825,0.397366737,0.604829849,0.513513514,0.75,-21.35
672295,0.39,0.41,0,0.15,0.05,0,0,0,0,0,0,0.626948451,0.277645398,0.355749312,0,0.5,-15.8
672296,0.2,0.4,0.08,0.24,0.08,0,0,0,0,0,0,0.945145996,0.342599947,0.595149701,0.675675676,0.75,-25.42
672297,0.3,0.4,0.1,0.15,0.05,0,0,0,0,0,0,0.705654411,0.499161592,0.61468757,0.864864865,0.75,-12.55
672298,0.306,0.392,0.098,0.204,0,0,0,0,0,0,0,0.663250541,0.53599241,0.56028729,0.781081081,0.5,-18.17
672299,0.315,0.385,0.1,0.2,0,0,0,0,0,0,0,0.645370814,0.550321022,0.5696972,0.743243243,0.5,-21.2
672300,0.315,0.385,0.1,0.1,0.1,0,0,0,0,0,0,0.721455963,0.477622231,0.615800238,0.743243243,0.75,-17.25
672301,0.315,0.385,0.1,0.15,0.05,0,0,0,0,0,0,0.683855864,0.513971627,0.628836007,0.743243243,0.75,-16.85
672302,0.315,0.385,0.1,0.05,0.15,0,0,0,0,0,0,0.758206443,0.441272836,0.562830489,0.743243243,0.75,-15.89
672303,0.315,0.385,0.1,0,0.2,0,0,0,0,0,0,0.794140169,0.40492344,0.448177132,0.743243243,0.5,-15.67
672304,0.5,0.375,0.125,0,0,0,0,0,0,0,0,0.057512939,0.773298914,0.368324252,0.898648649,0.25,-19.17
672305,0.2,0.37,0.11,0.24,0.08,0,0,0,0,0,0,0.923995574,0.438178449,0.678714092,0.716216216,0.75,-29.28
672306,0.21,0.37,0.12,0.23,0.07,0,0,0,0,0,0,0.894095819,0.478333775,0.694097009,0.810810811,0.75,-19
672307,0.33,0.37,0.1,0.15,0.05,0,0,0,0,0,0,0.660420252,0.532256641,0.644415204,0.621621622,0.75,-17.34
672308,0.2,0.37,0.13,0.25,0.05,0,0,0,0,0,0,0.891897502,0.51127438,0.69826671,0.905405405,0.75,-15.2
672309,0.2655,0.3645,0.081,0.189,0,0.1,0,0,0,0,0,0.547259892,0.8034768,1,0.532432432,0.75,-14.09
672310,0.2,0.36,0.12,0.24,0.08,0,0,0,0,0,0,0.916896929,0.469684935,0.706165455,0.72972973,0.75,-27.56
672311,0.2,0.35,0.13,0.24,0.08,0,0,0,0,0,0,0.909773781,0.501014915,0.733499593,0.743243243,0.75,-26.42
672312,0.5,0.35,0.15,0,0,0,0,0,0,0,0,0.039917501,0.849969111,0.432418579,0.932432432,0.25,-18.96
672313,0.26,0.35,0.13,0.24,0,0,0.02,0,0,0,0,0.734039116,0.613096814,0.719762823,0.878378378,0.75,-13.92
672314,0.306,0.343,0.147,0.204,0,0,0,0,0,0,0,0.629274738,0.687736299,0.698070423,0.847297297,0.5,-16.62
672315,0.315,0.335,0.15,0.15,0.05,0,0,0,0,0,0,0.648977218,0.670400891,0.772191147,0.810810811,0.75,-14.73
672316,0.5,0.3,0.2,0,0,0,0,0,0,0,0,0.004020589,1,0.561634155,1,0.25,-17.76
672317,0.51,0.294,0.196,0,0,0,0,0,0,0,0,0,0.998445856,0.555362133,0.913513514,0.25,-16.63
672318,0.197,0.503,0,0.3,0,0,0,0,0,0,0,0.951067126,0.140414571,0.224471444,0.754054054,0.25,-12.2
672319,0.202,0.498,0,0.3,0,0,0,0,0,0,0,0.943203791,0.142692613,0.228902505,0.713513514,0.25,-13.56
672320,0.26,0.485,0,0,0.25,0,0.005,0,0,0,0,1,0,0.168752791,0.641891892,0.5,-26.42
672321,0.3,0.48,0,0.22,0,0,0,0,0,0,0,0.751295013,0.213396876,0.248975425,0.567567568,0.25,-30.12
